"Status","Source","Category of Data","Blast Radius Metric / Target Entity","Details to Extract (Blast Radius Focus)","How to Extract (Command / API / Method)","Native Export Format","What to Download (Record Set)","How to Download","RDBMS Table Name","RDBMS Schema & Column Types (Including New Blast Radius Fields)","Vulnerability / Audit Check Criteria","Blast Radius & Downstream Impact Calculation Criteria","MITRE ATT&CK Mapping","MITRE D3FEND Mapping","Blast Radius Tool Capabilities & Gap Notes"
"NEW","Active Directory","Kerberos Security","Service Accounts & Kerberoastable SPNs","SamAccountName, ServicePrincipalName, PasswordLastSet, PasswordPolicy, KerberosEncryptionType, UserAccountControl","Get-ADUser -Filter {ServicePrincipalName -ne ""$null""} -Properties ServicePrincipalName, PasswordLastSet, msDS-SupportedEncryptionTypes","JSON / CSV","Service accounts with SPNs, Password last set dates, Supported Encryption types (RC4 vs AES), UAC flags","PowerShell: Get-ADUser -Filter {ServicePrincipalName -ne ""$null""} -Properties ServicePrincipalName... | ConvertTo-Json","ad_kerberoastable_accounts","sam_account_name VARCHAR(128) PRIMARY KEY, spn VARCHAR(256) NOT NULL, password_last_set TIMESTAMP, encryption_types INT, is_rc4_enabled BOOLEAN GENERATED ALWAYS AS (encryption_types IS NULL OR encryption_types = 4) STORED","Identify service accounts with weak RC4 Kerberos encryption and high-privilege group memberships (Domain Admins).","Count of SQL/IIS services and servers susceptible to offline Kerberoasting ticket cracking.","T1558.003 (Kerberoasting), T1201 (Password Policy Discovery)","D3-PMP (Password Management Policy), D3-IAM (Identity & Access Management)","Requires querying 'msDS-SupportedEncryptionTypes' attribute across Active Directory."
"EXISTING","Active Directory","Group Policy Object Configuration","GPO Backup & Registry Mappings","GPO ID, DisplayName, SecurityFiltering, ExtensionData (LSA Protection, PowerShell Transcription, LM Hashing)","Get-GPOReport -All -ReportType Xml -Path C:\gpo_backup\report.xml","XML / JSON","GPO ID, DisplayName, SecurityFiltering, Registry Policy Settings","PowerShell: Get-GPOReport -All -ReportType Xml -Path C:\gpo_backup\report.xml","ad_gpo_reports","gpo_id VARCHAR(128) PRIMARY KEY, gpo_name VARCHAR(256), gpo_status VARCHAR(32), lsa_protection_enabled BOOLEAN, ps_transcription_enabled BOOLEAN, ps_scriptblock_logging BOOLEAN, lm_hash_level INT, raw_xml TEXT","Check for missing GPO configurations, such as missing LSA protection or disabled PowerShell transcriptions.","Blast radius scope: Identifies OU trees and domain hosts lacking hardened system configuration enforcement.","T1484.001 (Group Policy Modification), T1562 (Impair Defenses)","D3-SPH (System Policy Hardening), D3-GPO (Group Policy Enforcement)","Already existing in base spec; defines GPO policy baseline."
"NEW","Entra ID","Identity & App Management","Service Principals & App Registrations","AppId, DisplayName, KeyCredentials, PasswordCredentials (Expiration), OAuth2PermissionGrants, AppRoleAssignments","GET https://graph.microsoft.com/v1.0/servicePrincipals && GET /v1.0/applications","JSON","Service Principals, App Registrations, Client Secrets expiration, Certificate Credentials, Delegated OAuth Permissions","API: GET /v1.0/servicePrincipals & GET /v1.0/applications (MS Graph API)","entra_service_principals","app_id VARCHAR(128) PRIMARY KEY, display_name VARCHAR(128), principal_type VARCHAR(32), secret_expiration TIMESTAMP, certificate_count INT, oauth_permissions JSONB, app_roles JSONB","Identify Service Principals with non-expiring credentials or over-privileged MS Graph permissions (e.g. Directory.ReadWrite.All).","Total Entra ID tenant APIs and cloud resources accessible via compromised Service Principal secret/cert.","T1098 (Account Manipulation), T1078 (Valid Accounts)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Requires MS Graph permission 'Application.Read.All'."
"CHANGED","Entra ID","Identity & Access Management","Directory Roles & PIM Assignments","AssignmentId, RoleDefinitionId, RoleDisplayName, PrincipalId, PrincipalType, TransitiveRoleAssignments, EligibleRoles (PIM)","GET https://graph.microsoft.com/v1.0/roleManagement/directory/roleAssignments?$expand=principal,roleDefinition","JSON","Role Assignments, Role Definitions, Principal Types, PIM Eligible Assignments, Administrative Units","API: GET /v1.0/roleManagement/directory/roleAssignments & GET /v1.0/roleManagement/directory/roleEligibilityScheduleInstances","entra_role_assignments","assignment_id VARCHAR(128) PRIMARY KEY, role_definition_id VARCHAR(128), role_name VARCHAR(128), principal_id VARCHAR(128), principal_name VARCHAR(128), principal_type VARCHAR(32), is_pim_eligible BOOLEAN, transitive_member_ids JSONB","Identify standard users, guest accounts, or service principals assigned critical administrative roles (Global Admin).","Total user accounts, groups, and applications manageable by principal via direct or PIM eligible admin roles.","T1098 (Account Manipulation), T1078 (Valid Accounts)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Added 'is_pim_eligible' and 'transitive_member_ids' to include Privileged Identity Management (PIM) blast radius."
"NEW","Entra ID","Group & Directory Architecture","Entra ID Security & Dynamic Groups","GroupId, DisplayName, GroupTypes, SecurityEnabled, MemberIDs, OwnerIDs, DynamicMembershipRules","GET https://graph.microsoft.com/v1.0/groups?$expand=members","JSON","Entra ID Security Groups, M365 Groups, Dynamic Membership rules, Group Members, Group Owners","API: GET /v1.0/groups?$expand=members (MS Graph API)","entra_groups","group_id VARCHAR(128) PRIMARY KEY, display_name VARCHAR(128), group_type VARCHAR(32), is_security_enabled BOOLEAN, dynamic_rule TEXT, member_ids JSONB, owner_ids JSONB","Identify dynamic security groups with broad membership rules assigning administrative roles or Conditional Access exclusions.","Number of identities inheriting access or policy exclusions if group membership is manipulated.","T1098 (Account Manipulation), T1078 (Valid Accounts)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Requires MS Graph permission 'Group.Read.All'."
"EXISTING","Entra ID Protection","Threat Detection","User Identity Risk Detections","RiskId, UserPrincipalName, RiskState, RiskLevel, RiskEventType, DetectionTiming, Source","GET https://graph.microsoft.com/v1.0/identityProtection/riskDetections","JSON","Risk Detections, UserPrincipalNames, Risk States, Risk Levels, Detection timings","API: GET /v1.0/identityProtection/riskDetections","entra_risk_detections","risk_id VARCHAR(128) PRIMARY KEY, user_principal_name VARCHAR(128), risk_state VARCHAR(32), risk_level VARCHAR(16), risk_event_type VARCHAR(128), detection_time TIMESTAMP, source VARCHAR(64)","Identify user accounts with un-remediated risk levels of Medium or High, suggesting active token hijacking.","Blast radius scope: Identifies compromised identity entry points capable of launching tenant-wide lateral movement.","T1110 (Brute Force), T1539 (Steal Web Session Cookie)","D3-UEBA (User & Entity Behavior Analytics), D3-ITA (Identity Threat Analysis)","Already existing in base spec; establishes identity risk status."
"NEW","Entra ID Protection","Threat Detection","Risky Users & Service Principals","UserPrincipalName, RiskLevel, RiskDetail, TransitiveRiskScore, ImpactedAppsCount, RiskLastUpdated","GET https://graph.microsoft.com/v1.0/identityProtection/riskyUsers && GET /v1.0/identityProtection/riskyServicePrincipals","JSON","Risky Users list, Risky Service Principals list, Risk details, Risk level histories","API: GET /v1.0/identityProtection/riskyUsers & GET /v1.0/identityProtection/riskyServicePrincipals","entra_risky_entities","entity_id VARCHAR(128) PRIMARY KEY, entity_name VARCHAR(128), entity_type VARCHAR(32), risk_level VARCHAR(16), risk_detail VARCHAR(128), impacted_apps_count INT, risk_last_updated TIMESTAMP","Identify high-risk Service Principals or Executive accounts with un-remediated risk state operating in production.","Count of enterprise M365 apps and Azure subscriptions directly accessible via high-risk entity.","T1110 (Brute Force), T1078 (Valid Accounts)","D3-UEBA (User & Entity Behavior Analytics), D3-ITA (Identity Threat Analysis)","Requires Entra ID P2 license and 'IdentityRiskyUser.Read.All'."
"NEW","Defender for Identity","Identity Threat Detection","Lateral Movement Paths (LMP)","SourceIdentity, TargetIdentity, HopCount, IntermediateDevices, SensitiveAccountFlag, PathType","GET https://graph.microsoft.com/v1.0/security/identities/lateralMovementPaths (via MS Defender API / Sentinel)","JSON","Lateral Movement Paths, Source Entities, Target Sensitive Entities, Hop Counts, Intermediate Computer IDs","API: GET /v1.0/security/identities/lateralMovementPaths OR MS Defender XDR GraphQL API","defender_lateral_movement_paths","path_id VARCHAR(128) PRIMARY KEY, source_entity VARCHAR(128), target_entity VARCHAR(128), hop_count INT, intermediate_devices JSONB, is_target_sensitive BOOLEAN","Identify non-sensitive user accounts with direct, un-mitigated 1-hop or 2-hop lateral movement paths to Domain Admins.","Calculates exact chain of compromised computers and local admin credentials required to reach Domain Controller.","T1078 (Valid Accounts), T1021 (Remote Services)","D3-ITA (Identity Threat Analysis), D3-ANOM (Anomaly Detection)","Requires Microsoft Defender for Identity sensor deployment on Domain Controllers."
"CHANGED","Defender for Identity","Threat Detection","Domain Security Alerts & Compromised Entities","AlertId, Title, Severity, Status, Evidence, CompromisedHostIP, TargetServiceAccount, CompromisedTicket","GET https://graph.microsoft.com/v1.0/security/alerts?$filter=vendorInformation/provider eq 'Defender for Identity'","JSON","Alert ID, Title, Severity, Category, Status, Evidence (User, Computer, IP), Target Accounts, Kerberos Ticket Hashes","API: GET /v1.0/security/alerts (MS Graph Security API)","defender_identity_alerts","alert_id VARCHAR(128) PRIMARY KEY, title VARCHAR(256), severity VARCHAR(16), category VARCHAR(64), status VARCHAR(32), impacted_user VARCHAR(128), impacted_computer VARCHAR(128), target_service_account VARCHAR(128), mitre_techniques JSONB","Verify all Active Directory-level threat detections (e.g. Kerberoasting, DCSync) are actively reviewed and closed.","Calculate blast radius by connecting alert evidence (compromised host/user) to active Lateral Movement Paths.","T1558 (Kerberoasting / Golden Ticket), T1003.006 (DCSync)","D3-ANOM (Anomaly Detection), D3-ITA (Identity Threat Analysis)","Added 'target_service_account' and 'compromised_ticket' to resolve attack propagation targets."
"NEW","Wiz.io CSPM","Graph Security","Wiz Cloud Security Graph Search","SourceResourceID, TargetResourceID, RelationshipType (CONNECTS_TO, CAN_ASSUME, EXPOSES_SECRET_TO), VulnerabilitySeverity","POST https://api.wiz.io/graphql (Query: graphSearch)","JSON","Cloud Graph Nodes, Edges, Relationships (Public IP -> VM -> Managed Identity -> S3 Bucket), Risk Vectors","GraphQL API: POST https://api.wiz.io/graphql (Query: graphSearch)","wiz_cloud_graph","edge_id VARCHAR(256) PRIMARY KEY, source_resource_id VARCHAR(128), target_resource_id VARCHAR(128), relationship_type VARCHAR(64), risk_severity VARCHAR(16), raw_edge JSONB","Identify toxic combination paths starting from public internet exposure to internal high-value database assets.","Graph traversal score: Total count of cloud nodes and data stores downstream from vulnerable entry asset.","T1190 (Exploit Public-Facing Application), T1078 (Valid Accounts)","D3-CHA (Cloud Hygiene Assessment), D3-CVA (Configuration Vulnerability Assessment)","Requires Wiz API Client with access to Cloud Graph GraphQL schema."
"CHANGED","Wiz.io CSPM","Vulnerability Management","Toxic Combinations & Exposed Secret Stores","IssueId, Title, Severity, Status, EntityId, ExposedSecretTypes, PublicNetworkRouteId, DownstreamDBs","POST https://api.wiz.io/graphql (Query: issues)","JSON","Issues, Severity, Status, Toxic Combination categories, Exposed Secret Types, Network Exposure details","GraphQL API Query: POST https://api.wiz.io/graphql (Query: issues)","wiz_issues","issue_id VARCHAR(128) PRIMARY KEY, title VARCHAR(256), severity VARCHAR(16), status VARCHAR(32), entity_id VARCHAR(128), entity_name VARCHAR(128), entity_type VARCHAR(64), exposed_secret_types JSONB, downstream_dbs JSONB, toxic_combination_tags JSONB","Verify zero open high/critical issues, specifically VMs containing exposed secrets and public network routes.","Sum of exposed API keys, SSH keys, and accessible downstream database entities associated with issue.","T1190 (Exploit Public-Facing Application), T1552 (Unsecured Credentials)","D3-CHA (Cloud Hygiene Assessment), D3-CVA (Configuration Vulnerability Assessment)","Added 'exposed_secret_types' and 'downstream_dbs' to compute data exposure blast radius."
"CHANGED","Control Libraries","Compliance Standards","Asset Compliance Coverage & Criticality","BenchmarkID, Version, TargetHost, RuleID, Result, ImpactScore, AssetCriticalityLevel, DataClassification","CIS-CAT tool runs or custom JSON checklist reports","XML / JSON / CSV","Benchmark ID, Target Host, Rule ID, Result (PASS/FAIL), Asset Criticality Level, Data Classification (PII/PCI)","CLI: cis-cat-full.sh / cis-cat.bat OR OpenSCAP: oscap xccdf eval","compliance_benchmark_reports","report_id VARCHAR(128) PRIMARY KEY, host_id VARCHAR(128), benchmark_name VARCHAR(128), rule_id VARCHAR(128), rule_title VARCHAR(256), result VARCHAR(16), impact_score INT, asset_criticality VARCHAR(16), data_classification VARCHAR(16), failed_reason TEXT","Identify host and network platforms where system configuration drifts from established hardening frameworks.","Blast radius weight multiplier: Computes blast radius score weighted by asset criticality (Production vs Dev).","M1047 (Audit), M1028 (OS Hardening)","D3-SPH (System Policy Hardening), D3-SCA (Security Control Auditing)","Added 'asset_criticality' and 'data_classification' to weight blast radius calculation."
"EXISTING","Control Libraries","Compliance Standards","CIS System Baseline Reports","BenchmarkID, Version, TargetHost, RuleID, RuleTitle, Result, ImpactScore, Rationale","CIS-CAT tool runs or custom JSON checklist reports","XML / JSON / CSV","Benchmark ID, Version, Target Host, Rule ID, Result, Impact Score","CLI: cis-cat-full.sh / cis-cat.bat -r <out_dir>","compliance_benchmark_reports","report_id VARCHAR(128) PRIMARY KEY, host_id VARCHAR(128), benchmark_name VARCHAR(128), rule_id VARCHAR(128), rule_title VARCHAR(256), result VARCHAR(16), impact_score INT, failed_reason TEXT","Identify host and network platforms where system configuration drifts from established hardening frameworks.","Blast radius scope: Quantifies compliance failure rate across host inventory.","M1047 (Audit), M1028 (OS Hardening)","D3-SPH (System Policy Hardening), D3-SCA (Security Control Auditing)","Already existing in base spec; defines baseline compliance posture."
"NEW","EDR / OS Telemetry","Host Network Telemetry","Active Sockets & Network Connections","SourceIP, SourcePort, DestinationIP, DestinationPort, Protocol, ProcessName, ProcessId, User, Direction","Windows Event Log ID 5156 / Sysmon Event ID 3 / EDR Telemetry API","EVTX / JSON / CEF","Network Connection events, Source/Destination IP Sockets, Initiating Process Name, User Context","PowerShell: Get-WinEvent -FilterHashtable @{LogName='Microsoft-Windows-Sysmon/Operational';ID=3} OR EDR Stream","edr_network_connections","event_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), timestamp TIMESTAMP, source_ip VARCHAR(32), destination_ip VARCHAR(32), destination_port INT, protocol VARCHAR(16), process_name VARCHAR(256), process_id INT, user_account VARCHAR(128)","Scan for processes establishing active outbound connections to external malicious IPs or internal remote admin ports.","Construct active network connection graph to identify live lateral movement propagation targets.","T1071 (Application Layer Protocol), T1021 (Remote Services)","D3-NTM (Network Traffic Monitoring), D3-PSA (Process Segment Analysis)","Requires Sysmon Event ID 3 or EDR telemetry agent enabled on host endpoints."
"CHANGED","EDR / OS Telemetry","Host Activity Telemetry","Process Execution & Parent-Child Trees","EventID, TimeCreated, ProcessId, NewProcessName, ParentProcessName, CommandLine, ProcessTreeId, NetworkFlag","Windows Event Log ID 4688 / Sysmon Event ID 1","EVTX / JSON / CEF","EventID, TimeCreated, Computer, ProcessId, NewProcessName, ParentProcessName, CommandLine, User, ProcessGuid, ParentProcessGuid","PowerShell: Get-WinEvent -FilterHashtable @{LogName='Security';ID=4688} OR EDR API","edr_process_events","event_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), timestamp TIMESTAMP, process_name VARCHAR(256), parent_process VARCHAR(256), command_line TEXT, user_account VARCHAR(128), process_guid VARCHAR(128), parent_process_guid VARCHAR(128), is_network_initiated BOOLEAN","Scan for instances of cmd.exe or powershell.exe spawned directly by office products or web servers.","Build process lineage tree (parent -> child -> grandchild) to calculate endpoint process execution blast radius.","T1059.001 (PowerShell), T1059.003 (Windows Command Shell), T1204 (User Execution)","D3-PSA (Process Segment Analysis), D3-PEA (Process Execution Analysis)","Added 'process_guid', 'parent_process_guid', and 'is_network_initiated' to build process trees."
"EXISTING","EDR / OS Telemetry","Host Activity Telemetry","Script Block Logging","EventID, TimeCreated, Computer, ScriptBlockId, ScriptBlockText, Path, User, IsEncodedFlag","Windows Event Log ID 4104 (PowerShell Script Block)","EVTX / JSON","EventID, TimeCreated, Computer, ScriptBlockId, ScriptBlockText, Path, User","PowerShell: Get-WinEvent -FilterHashtable @{LogName='Microsoft-Windows-PowerShell/Operational';ID=4104}","edr_powershell_scriptblocks","event_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), timestamp TIMESTAMP, script_block_id VARCHAR(128), script_content TEXT, user_account VARCHAR(128), contains_obfuscation BOOLEAN","Identify commands containing base64 obfuscation ('-enc') or bypassing security execution policies.","Blast radius scope: Identifies malicious script execution context across host endpoints.","T1059.001 (PowerShell), T1027 (Obfuscated Files)","D3-SBA (Script Block Analysis), D3-SAA (Script Analysis & Auditing)","Already existing in base spec; provides script execution forensic payload."
"EXISTING","EDR / OS Telemetry","Auditing & Logging","Registry & System File Auditing","EventID, TimeCreated, Computer, ProcessName, TargetObject, Details, OperationType, User","Windows Event ID 4657 / Sysmon Event ID 13","EVTX / JSON","EventID, TimeCreated, Computer, ProcessName, TargetObject, Details, OperationType, User","PowerShell: Get-WinEvent -FilterHashtable @{LogName='Security';ID=4657}","edr_registry_file_audits","event_id VARCHAR(128) PRIMARY KEY, host_name VARCHAR(128), timestamp TIMESTAMP, process_name VARCHAR(256), target_object VARCHAR(512), operation_type VARCHAR(32), user_account VARCHAR(128)","Monitor attempts by non-system processes to read LSASS process memory or modify logon helper DLL registry keys.","Blast radius scope: Identifies host persistence mechanisms and credential theft points.","T1003.001 (LSASS Memory), T1547.001 (Registry Run Keys)","D3-MMP (Memory Protection), D3-RMA (Registry Modification Analysis)","Already existing in base spec; monitors system registry and LSASS integrity."
